id,name,code,region_id,country_id,description
1,ロサンゼルス国際空港,LAX,1,1,日本直行便あり（成田・羽田）／米西海岸の主要ハブ
2,ハリー・リード国際空港,LAS,2,1,エンタメ街の中心に近くアクセス良好
3,フェニックス・スカイハーバー国際空港,PHX,3,1,アリゾナ州最大の空港。グランドキャニオンへの拠点
4,ジョン・F・ケネディ国際空港,JFK,4,1,米東海岸最大の国際空港
5,ワシントン・ダレス国際空港,IAD,5,1,米首都圏の主要国際線空港
6,マイアミ国際空港,MIA,6,1,フロリダ・カリブ方面への玄関口
7,ダニエル・K・イノウエ国際空港,HNL,7,1,ハワイの玄関口。日本直行便多数
8,フィウミチーノ国際空港（レオナルド・ダ・ヴィンチ空港）,FCO,8,2,日本から直行便あり。イタリアのハブ空港
9,フィレンツェ・ペレートラ空港（アメリゴ・ヴェスプッチ空港）,FLR,10,2,ローマ・ミラノ経由でアクセス可能
10,ベネチア・マルコ・ポーロ国際空港,VCE,11,2,水上バスで市街地へアクセス
11,ミラノ・マルペンサ国際空港,MXP,12,2,日本から直行便あり
12,ナポリ・カポディキーノ国際空港,NAP,13,2,南イタリアの玄関口。アマルフィ・カプリ島へ便利
13,カターニア・フォンタナロッサ国際空港,CTA,16,2,東シチリア方面に便利
14,ピサ国際空港（ガリレオ・ガリレイ空港）,PSA,17,2,チンクエテッレ・トスカーナ方面の拠点
15,パリ＝シャルル・ド・ゴール国際空港,CDG,18,3,日本直行便あり。ヨーロッパ最大級のハブ空港
16,ニース・コート・ダジュール国際空港,NCE,20,3,南仏リゾートの玄関口
17,チューリッヒ空港,ZRH,28,5,スイス最大の国際空港。アルプス観光の起点
18,ケアンズ国際空港,CNS,33,6,グレートバリアリーフ観光の拠点
19,シドニー国際空港,SYD,31,6,オーストラリア最大の空港。日本直行便あり
20,スワンナプーム国際空港,BKK,36,7,東南アジア最大級のハブ
21,プーケット国際空港,HKT,37,7,リゾート観光に便利
22,カイロ国際空港,CAI,38,8,エジプトの玄関口。ピラミッド観光に最適
23,ルクソール国際空港,LXR,39,8,ナイル川流域観光の起点
24,テヘラン・エマーム・ホメイニー国際空港,IKA,44,9,イランの主要国際空港
25,インディラ・ガンディー国際空港,DEL,45,10,インドの玄関口。日本直行便あり
26,首都北京国際空港,PEK,48,11,中国最大の国際空港
27,上海浦東国際空港,PVG,50,11,東アジア最大のハブ空港
28,ソウル仁川国際空港,ICN,53,13,日本から2時間の近距離。乗継にも便利
29,釜山金海国際空港,PUS,54,13,韓国南部の玄関口
30,済州国際空港,CJU,55,13,リゾート・自然観光に便利
31,ノイバイ国際空港,HAN,23,4,ベトナム北部の首都ハノイにある主要国際空港
32,ダナン国際空港,DAD,24,4,中部リゾート都市の玄関口。ホイアンにも近い
33,タンソンニャット国際空港,SGN,26,4,南部最大の国際空港。ホーチミンの玄関口
34,プルコヴォ国際空港,LED,51,12,サンクトペテルブルクの国際空港。欧州路線が豊富
35,シェレメーチエヴォ国際空港,SVO,52,12,モスクワ最大の国際空港。日本から直行便あり
